DATE,EXCSRESNS
2006-01-01,1575
2006-02-01,1549
2006-03-01,1506
2006-04-01,1825
2006-05-01,1797
2006-06-01,1781
2006-07-01,1553
2006-08-01,1520
2006-09-01,1759
2006-10-01,1693
2006-11-01,1689
2006-12-01,1863
2007-01-01,1545
2007-02-01,1453
2007-03-01,1617
2007-04-01,1587
2007-05-01,1456
2007-06-01,1754
2007-07-01,1634
2007-08-01,4827
2007-09-01,1734
2007-10-01,1460
2007-11-01,1693
2007-12-01,1785
2008-01-01,1648
2008-02-01,1615
2008-03-01,2644
2008-04-01,1737
2008-05-01,1838
2008-06-01,2225
2008-07-01,1912
2008-08-01,1876
2008-09-01,59482
2008-10-01,267157
2008-11-01,558809
2008-12-01,767319
2009-01-01,796835
2009-02-01,642072
2009-03-01,723103
2009-04-01,822598
2009-05-01,842144
2009-06-01,749401
2009-07-01,732245
2009-08-01,765626
2009-09-01,859887
2009-10-01,994502
2009-11-01,1077011
2009-12-01,1075199
2010-01-01,1045801
2010-02-01,1161852
2010-03-01,1120370
2010-04-01,1050215
2010-05-01,1044780
2010-06-01,1034927
2010-07-01,1021645
2010-08-01,1019559
2010-09-01,980831
2010-10-01,973591
2010-11-01,971566
2010-12-01,1006636
2011-01-01,1036466
2011-02-01,1190001
2011-03-01,1362146
2011-04-01,1451947
2011-05-01,1512488
2011-06-01,1588726
2011-07-01,1618118
2011-08-01,1583344
2011-09-01,1550976
2011-10-01,1545136
2011-11-01,1497769
2011-12-01,1502205
2012-01-01,1519451
2012-02-01,1560121
2012-03-01,1509593
2012-04-01,1486177
2012-05-01,1457460
2012-06-01,1457475
2012-07-01,1483051
2012-08-01,1477749
2012-09-01,1409439
2012-10-01,1418274
2012-11-01,1435304
2012-12-01,1458750
2013-01-01,1519459
2013-02-01,1616788
2013-03-01,1698153
2013-04-01,1768833
2013-05-01,1863346
2013-06-01,1946936
2013-07-01,2030929
2013-08-01,2133867
2013-09-01,2213872
2013-10-01,2308245
2013-11-01,2392529
2013-12-01,2416218
2014-01-01,2422252
2014-02-01,2516559
2014-03-01,2544556
2014-04-01,2580165
2014-05-01,2552274
2014-06-01,2586911
2014-07-01,2619414
2014-08-01,2699968
2014-09-01,2677392
2014-10-01,2620642
2014-11-01,2433154
2014-12-01,2523930
2015-01-01,2593187
2015-02-01,2407750
2015-03-01,2583707
2015-04-01,2606491
2015-05-01,2492001
2015-06-01,2465256
2015-07-01,2499007
2015-08-01,2512121
2015-09-01,2551981
2015-10-01,2578555
2015-11-01,2512532
2015-12-01,2330461
2016-01-01,2279601
2016-02-01,2358120
2016-03-01,2367595
2016-04-01,2330496
2016-05-01,2282938
2016-06-01,2267349
2016-07-01,2207656
2016-08-01,2249348
2016-09-01,2157495
2016-10-01,1989439
2016-11-01,2032970
2016-12-01,1925063
2017-01-01,1982293
2017-02-01,2129728
2017-03-01,2218079
2017-04-01,2168196
2017-05-01,2110305
2017-06-01,2088360
2017-07-01,2112687
2017-08-01,2223924
2017-09-01,2173626
2017-10-01,2128828
2017-11-01,2191314
2017-12-01,2120554
2018-01-01,2087809
2018-02-01,2114769
2018-03-01,2046724.0
2018-04-01,1959777.0
2018-05-01,1894309.0
2018-06-01,1862721.0
2018-07-01,1824084.0
2018-08-01,1787545.0
2018-09-01,1747110.0
2018-10-01,1706196.0
2018-11-01,1648754.0
2018-12-01,1567691.0
2019-01-01,1507900.0
2019-02-01,1520104.0
2019-03-01,1532874.0
2019-04-01,1429330.0
2019-05-01,1376568.0
2019-06-01,1400949.0
2019-07-01,1378447.0
2019-08-01,1386237.0
2019-09-01,1305064.0
2019-10-01,1346515.0
2019-11-01,1388636.0
2019-12-01,1491106.0
