DATE,TCDNS
2006-01-01,640.8
2006-02-01,621.2
2006-03-01,650.8
2006-04-01,648.0
2006-05-01,643.2
2006-06-01,630.7
2006-07-01,620.3
2006-08-01,623.1
2006-09-01,600.8
2006-10-01,612.7
2006-11-01,615.6
2006-12-01,626.2
2007-01-01,613.7
2007-02-01,590.0
2007-03-01,618.8
2007-04-01,631.6
2007-05-01,622.8
2007-06-01,607.6
2007-07-01,603.6
2007-08-01,608.7
2007-09-01,593.0
2007-10-01,603.3
2007-11-01,601.8
2007-12-01,624.6
2008-01-01,614.0
2008-02-01,600.9
2008-03-01,632.9
2008-04-01,640.6
2008-05-01,626.3
2008-06-01,632.2
2008-07-01,636.7
2008-08-01,619.9
2008-09-01,658.8
2008-10-01,663.2
2008-11-01,701.8
2008-12-01,807.9
2009-01-01,749.1
2009-02-01,707.6
2009-03-01,742.8
2009-04-01,772.9
2009-05-01,761.3
2009-06-01,803.7
2009-07-01,797.4
2009-08-01,790.2
2009-09-01,778.7
2009-10-01,799.4
2009-11-01,816.7
2009-12-01,853.5
2010-01-01,808.5
2010-02-01,810.3
2010-03-01,848.8
2010-04-01,831.7
2010-05-01,820.7
2010-06-01,843.6
2010-07-01,826.2
2010-08-01,844.5
2010-09-01,841.5
2010-10-01,857.8
2010-11-01,910.1
2010-12-01,946.0
2011-01-01,933.0
2011-02-01,922.6
2011-03-01,962.0
2011-04-01,960.9
2011-05-01,969.6
2011-06-01,985.0
2011-07-01,1020.0
2011-08-01,1123.9
2011-09-01,1116.5
2011-10-01,1140.8
2011-11-01,1166.5
2011-12-01,1200.5
2012-01-01,1201.5
2012-02-01,1169.8
2012-03-01,1208.0
2012-04-01,1225.3
2012-05-01,1200.8
2012-06-01,1219.0
2012-07-01,1259.1
2012-08-01,1274.3
2012-09-01,1289.9
2012-10-01,1338.9
2012-11-01,1329.6
2012-12-01,1413.6
2013-01-01,1387.4
2013-02-01,1351.4
2013-03-01,1383.1
2013-04-01,1423.9
2013-05-01,1393.6
2013-06-01,1394.8
2013-07-01,1409.8
2013-08-01,1399.1
2013-09-01,1411.8
2013-10-01,1467.2
2013-11-01,1450.8
2013-12-01,1550.2
2014-01-01,1539.5
2014-02-01,1530.6
2014-03-01,1574.2
2014-04-01,1601.8
2014-05-01,1568.6
2014-06-01,1608.1
2014-07-01,1620.2
2014-08-01,1565.7
2014-09-01,1608.6
2014-10-01,1633.8
2014-11-01,1619.0
2014-12-01,1734.8
2015-01-01,1678.6
2015-02-01,1703.9
2015-03-01,1735.8
2015-04-01,1741.9
2015-05-01,1677.8
2015-06-01,1722.0
2015-07-01,1734.6
2015-08-01,1713.5
2015-09-01,1699.9
2015-10-01,1687.7
2015-11-01,1723.0
2015-12-01,1798.1
2016-01-01,1752.2
2016-02-01,1743.0
2016-03-01,1811.6
2016-04-01,1858.7
2016-05-01,1852.1
2016-06-01,1860.9
2016-07-01,1853.2
2016-08-01,1924.8
2016-09-01,1897.4
2016-10-01,1922.2
2016-11-01,1913.8
2016-12-01,1959.6
2017-01-01,1963.3
2017-02-01,1922.5
2017-03-01,2022.2
2017-04-01,2022.0
2017-05-01,2041.2
2017-06-01,2045.8
2017-07-01,2060.5
2017-08-01,2096.0
2017-09-01,2040.6
2017-10-01,2092.2
2017-11-01,2086.9
2017-12-01,2123.8
2018-01-01,2122.1
2018-02-01,2026.9
2018-03-01,2132.0
2018-04-01,2132.2
2018-05-01,2078.6
2018-06-01,2068.6
2018-07-01,2086.1
2018-08-01,2088.3
2018-09-01,2063.0
2018-10-01,2104.3
2018-11-01,2056.4
2018-12-01,2168.5
2019-01-01,2121.8
2019-02-01,2073.6
2019-03-01,2112.4
2019-04-01,2170.5
2019-05-01,2132.3
2019-06-01,2168.2
2019-07-01,2194.6
2019-08-01,2175.7
2019-09-01,2190.9
2019-10-01,2229.9
2019-11-01,2218.8
2019-12-01,2329.6
